6 Char	Short Name	Corrected Shortname	
AIRFOR	Air Force		
AK ANC	Alas. Anchorage	Alaska Anchorage	
AK FBK	Alas. Fairbanks	Alaska	
AM INT	American Int'l		
ARMY	Army West Point	Army	
AZ ST	Arizona St.	Arizona State	
BC	Boston College		
BEMDJI	Bemidji St.	Bemidji State	
BENTLY	Bentley		
BGSU	Bowling Green		
BROWN	Brown		
BU	Boston U.	Boston University	
CANISI	Canisius		
CLARKS	Clarkson		
CO COL	Colorado Col.	Colorado College	
COLGAT	Colgate		
CORN	Cornell		
DART	Dartmouth		
DENVER	Denver		
FERRIS	Ferris St.	Ferris State	
HARV	Harvard		
HOLYCR	Holy Cross		
LINWOD	Lindenwood		
LIU	LIU		
LK SUP	Lake Superior St.	Lake Superior State	
MAINE	Maine		
MERCYH	Mercyhurst		
MERMCK	Merrimack		
MIA OH	Miami (OH)	Miami	
MICH	Michigan		
MICHST	Michigan St.	Michigan State	
MINN	Minnesota		
MITECH	Michigan Tech		
MN DUL	Minn. Duluth	Minnesota Duluth	
MNSTMA	Minnesota St.	Minnesota State	
N DAME	Notre Dame		
N MICH	Northern Mich.	Northern Michigan	
NIAGRA	Niagara		
NO DAK	North Dakota		
NOEAST	Northeastern		
OHIOST	Ohio St.	Ohio State	
OMAHA	Omaha		
PENNST	Penn St.	Penn State	
PRINCE	Princeton		
PROV	Providence		
QUINN	Quinnipiac		
RIT	RIT		
ROBMOR	Robert Morris		
RPI	Rensselaer		
SACHRT	Sacred Heart		
SCSU	St. Cloud St.	St. Cloud State	
ST LAW	St. Lawrence		
STONEH	Stonehill		
STTHOM	St. Thomas (MN)	St. Thomas	
UCONN	UConn		
UMASS	Massachusetts		
UMASSL	UMass Lowell		
UNH	New Hampshire		
UNION	Union (NY)	Union	
VERMNT	Vermont		
W MICH	Western Mich.	Western Michigan	
WISC	Wisconsin		
YALE	Yale		
